,A,B,t,p
0,"(1000, 2)","(1000, 3)",-0.4472135954999579,0.6984886554222364
1,"(1000, 2)","(600, 3)",0.0,1.0
2,"(1000, 2)","(600, 4)",1.414213562373095,0.29289321881345254
3,"(1000, 2)","(600, 5)",-1.414213562373095,0.29289321881345254
4,"(1000, 3)","(600, 3)",0.2773500981126146,0.8075499102701248
5,"(1000, 3)","(600, 4)",1.3416407864998738,0.3117527983883147
6,"(1000, 3)","(600, 5)",-0.4472135954999579,0.6984886554222364
7,"(600, 3)","(600, 4)",0.6324555320336759,0.5917517095361371
8,"(600, 3)","(600, 5)",-0.6324555320336759,0.5917517095361371
9,"(600, 4)","(600, 5)",-2.82842712474619,0.10557280900008413
